"ID","borrowers_country","date","HHCreditXDC"
"545","US","United States",1978-01-01,988.956
"546","AU","Australia",1978-04-01,37.618
"547","CA","Canada",1978-04-01,108.43
"548","DE","Germany",1978-04-01,306.672
"549","FI","Finland",1978-04-01,5.454
"550","FR","France",1978-04-01,61.458
"551","GB","United Kingdom",1978-04-01,51.192
"552","HU","Hungary",1978-04-01,80.21
"553","IT","Italy",1978-04-01,18.054
"554","JP","Japan",1978-04-01,80414.1
"555","KR","Korea",1978-04-01,2808.744
"556","NO","Norway",1978-04-01,100.285
"557","US","United States",1978-04-01,1038.797
"558","AU","Australia",1978-07-01,38.781
"559","CA","Canada",1978-07-01,113.207
"560","DE","Germany",1978-07-01,315.596
"561","FI","Finland",1978-07-01,5.704
"562","FR","France",1978-07-01,63.63
"563","GB","United Kingdom",1978-07-01,52.898
"564","HU","Hungary",1978-07-01,83.912
"565","IT","Italy",1978-07-01,19.043
"566","JP","Japan",1978-07-01,85453.9
"567","KR","Korea",1978-07-01,2918.541
"568","NO","Norway",1978-07-01,102.929
"569","US","United States",1978-07-01,1085.944
"570","AU","Australia",1978-10-01,40.493
"571","CA","Canada",1978-10-01,118.334
"572","DE","Germany",1978-10-01,330.252
"573","FI","Finland",1978-10-01,6.057
"574","FR","France",1978-10-01,67.261
"575","GB","United Kingdom",1978-10-01,55.458
"576","HU","Hungary",1978-10-01,87.277
"577","IT","Italy",1978-10-01,20.843
"578","JP","Japan",1978-10-01,89691.6
"579","KR","Korea",1978-10-01,3301.024
"580","NO","Norway",1978-10-01,106.522
"581","US","United States",1978-10-01,1128.024
"582","AU","Australia",1979-01-01,41.487
"583","CA","Canada",1979-01-01,121.09
"584","DE","Germany",1979-01-01,335.792
"585","FI","Finland",1979-01-01,6.226
"586","FR","France",1979-01-01,70.753
"587","GB","United Kingdom",1979-01-01,58.018
"588","HU","Hungary",1979-01-01,89.202
"589","IT","Italy",1979-01-01,21.051
"590","JP","Japan",1979-01-01,91732.5
"591","KR","Korea",1979-01-01,3384.33
"592","NO","Norway",1979-01-01,109.584
"593","US","United States",1979-01-01,1155.013
"594","AU","Australia",1979-04-01,43.886
"595","CA","Canada",1979-04-01,126.259
"596","DE","Germany",1979-04-01,350.015
"597","FI","Finland",1979-04-01,6.495
"598","FR","France",1979-04-01,76.505
"599","GB","United Kingdom",1979-04-01,60.577
"600","HU","Hungary",1979-04-01,93.005
"601","IT","Italy",1979-04-01,21.287
"602","JP","Japan",1979-04-01,94742.9
"603","KR","Korea",1979-04-01,3725.653
"604","NO","Norway",1979-04-01,112.636
"605","US","United States",1979-04-01,1202.081
"606","AU","Australia",1979-07-01,45.481
"607","CA","Canada",1979-07-01,131.872
"608","DE","Germany",1979-07-01,358.938
"609","FI","Finland",1979-07-01,6.856
"610","FR","France",1979-07-01,81.469
"611","GB","United Kingdom",1979-07-01,63.99
"612","HU","Hungary",1979-07-01,96.31
"613","IT","Italy",1979-07-01,22.166
"614","JP","Japan",1979-07-01,98528.6
"615","KR","Korea",1979-07-01,4267.96
"616","NO","Norway",1979-07-01,116.172
"617","US","United States",1979-07-01,1252.102
"618","AU","Australia",1979-10-01,47.04
"619","CA","Canada",1979-10-01,135.772
"620","DE","Germany",1979-10-01,374.446
"621","FI","Finland",1979-10-01,7.367
"622","FR","France",1979-10-01,85.691
"623","GB","United Kingdom",1979-10-01,67.403
"624","HU","Hungary",1979-10-01,99.79
"625","IT","Italy",1979-10-01,24.688
"626","JP","Japan",1979-10-01,104047.6
"627","KR","Korea",1979-10-01,4673.431
"628","NO","Norway",1979-10-01,119.929
"629","PT","Portugal",1979-10-01,0.494
"630","US","United States",1979-10-01,1296.909
"631","AU","Australia",1980-01-01,48.714
"632","CA","Canada",1980-01-01,137.717
"633","DE","Germany",1980-01-01,377.501
"634","FI","Finland",1980-01-01,7.73
"635","FR","France",1980-01-01,90.186
"636","GB","United Kingdom",1980-01-01,69.109
"637","HU","Hungary",1980-01-01,102.795
"638","IT","Italy",1980-01-01,25.43
"639","JP","Japan",1980-01-01,106623.2
"640","KR","Korea",1980-01-01,5135.936
"641","NO","Norway",1980-01-01,122.542
"642","PT","Portugal",1980-01-01,0.538
"643","US","United States",1980-01-01,1325.355
"644","AU","Australia",1980-04-01,51.362
"645","CA","Canada",1980-04-01,140.508
"646","DE","Germany",1980-04-01,388.825
"647","FI","Finland",1980-04-01,8.124
"648","FR","France",1980-04-01,93.484
"649","GB","United Kingdom",1980-04-01,72.522
"650","HU","Hungary",1980-04-01,106.695
"651","IT","Italy",1980-04-01,27.318
"652","JP","Japan",1980-04-01,108853.1
"653","KR","Korea",1980-04-01,5694.664
"654","NO","Norway",1980-04-01,127.487
"655","PT","Portugal",1980-04-01,0.594
"656","US","United States",1980-04-01,1343.148
"657","AU","Australia",1980-07-01,52.572
"658","CA","Canada",1980-07-01,143.682
