"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"222","AU","Australia","A","Credit-to-GDP ratios (actual data)",2015-07-01,198.2
"223","AU","Australia","A","Credit-to-GDP ratios (actual data)",2015-10-01,199.1
"224","AU","Australia","A","Credit-to-GDP ratios (actual data)",2016-01-01,200.7
"225","AU","Australia","A","Credit-to-GDP ratios (actual data)",2016-04-01,202
"226","AU","Australia","A","Credit-to-GDP ratios (actual data)",2016-07-01,201.9
"227","AU","Australia","A","Credit-to-GDP ratios (actual data)",2016-10-01,200.2
"228","AU","Australia","A","Credit-to-GDP ratios (actual data)",2017-01-01,196.8
"229","AU","Australia","A","Credit-to-GDP ratios (actual data)",2017-04-01,196.5
"230","AU","Australia","A","Credit-to-GDP ratios (actual data)",2017-07-01,194.8
"231","AU","Australia","A","Credit-to-GDP ratios (actual data)",2017-10-01,195.3
"232","AU","Australia","A","Credit-to-GDP ratios (actual data)",2018-01-01,195.9
"233","AU","Australia","A","Credit-to-GDP ratios (actual data)",2018-04-01,195.2
"234","AU","Australia","A","Credit-to-GDP ratios (actual data)",2018-07-01,195.4
"235","AU","Australia","A","Credit-to-GDP ratios (actual data)",2018-10-01,194.7
"236","AU","Australia","A","Credit-to-GDP ratios (actual data)",2019-01-01,194
"237","AU","Australia","A","Credit-to-GDP ratios (actual data)",2019-04-01,193.6
"238","AU","Australia","A","Credit-to-GDP ratios (actual data)",2019-07-01,191.9
"239","AU","Australia","A","Credit-to-GDP ratios (actual data)",2019-10-01,190.4
"240","AU","Australia","A","Credit-to-GDP ratios (actual data)",2020-01-01,193.8
"241","AU","Australia","A","Credit-to-GDP ratios (actual data)",2020-04-01,194.5
"242","AU","Australia","A","Credit-to-GDP ratios (actual data)",2020-07-01,195.5
"243","AU","Australia","A","Credit-to-GDP ratios (actual data)",2020-10-01,194.5
"244","AU","Australia","A","Credit-to-GDP ratios (actual data)",2021-01-01,194
"245","AU","Australia","A","Credit-to-GDP ratios (actual data)",2021-04-01,189.4
